,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,ZURN.SW,17.0,hold,2.6,437.20001220703125,476.23,335.92,571.55,39.07,11.190171799514493
1,EVE.SW,1.0,hold,3.0,0.08789999783039093,0.28,0.28,0.28,-0.02,-4.3949998915195465
2,MBTN.SW,9.0,buy,2.4,0.6294999718666077,0.63,0.31,0.96,0.01,62.94999718666077
3,ASWN.SW,1.0,buy,2.0,2.130000114440918,7.4,7.4,7.4,,
4,RCK.V,4.0,buy,2.0,2.9100000858306885,6.25,3.0,10.0,,
5,TKA.DE,12.0,hold,2.8,7.046000003814697,8.8,4.0,16.0,0.87,8.098850579097354
6,F3C.DE,5.0,buy,1.6,24.149999618530273,33.2,28.0,35.0,0.32,75.4687488079071
7,VOW3.DE,24.0,buy,2.2,128.3800048828125,186.5,115.0,320.0,29.04,4.420799066212552
8,NOVO-B.CO,27.0,buy,2.4,994.0,969.44,625.0,1200.0,35.51,27.992114897212055
9,ALJXR.PA,,none,,0.03590000048279762,,,,,
10,LIN,13.0,buy,1.9,335.010009765625,341.16,280.86,372.13,13.22,25.341150511771936
11,NEL.OL,22.0,hold,3.0,17.649999618530273,14.92,7.0,25.0,-0.42,-42.02380861554827
12,BLDP,23.0,hold,2.9,6.21120023727417,8.24,4.0,19.0,-0.5,-12.42240047454834
13,UUUU,3.0,buy,2.0,7.231100082397461,10.33,8.5,13.0,0.06,120.51833470662436
14,SHOP,40.0,hold,2.6,49.04999923706055,43.99,28.0,81.43,0.06,817.4999872843425
15,ONON,12.0,buy,2.2,21.75,26.18,16.42,30.85,0.45,48.33333333333333
16,BE,21.0,buy,2.2,23.924999237060547,29.48,21.0,40.0,0.45,53.16666497124566
17,CLNE,10.0,buy,2.0,5.744999885559082,13.05,7.0,27.0,0.0,inf
18,RUN,24.0,buy,2.1,23.649999618530273,43.98,12.74,70.0,-0.03,-788.3333206176758
19,SQ,40.0,buy,2.1,77.4800033569336,90.19,51.0,150.0,1.72,45.04651357961256
