,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,MMM.SW,,none,,105.0,,,,,
1,ABBN.SW,21.0,hold,2.6,31.56,29.59,24.52,39.22,1.57,20.101910828025478
2,ABT.SW,,none,,103.0,,,,,
3,ACHI.SW,,strong_buy,1.0,0.047,,,,,
4,ADXN.SW,,hold,3.5,0.28,,,,-0.17,-1.647058823529412
5,ADEN.SW,12.0,hold,2.6,34.93,38.78,26.96,69.88,3.35,10.42686567164179
6,ADVN.SW,1.0,none,,137.0,135.0,135.0,135.0,6.68,20.508982035928145
7,AEVS.SW,1.0,none,,17.85,19.4,19.4,19.4,-0.06,-297.50000000000006
8,AIRE.SW,,none,,0.64,,,,,
9,ALC.SW,14.0,buy,2.2,67.66,76.72,60.28,88.11,2.4,28.191666666666666
10,ALLN.SW,2.0,hold,3.0,155.4,166.5,153.0,180.0,8.31,18.700361010830324
11,ALPN.SW,,none,,12.0,,,,,
12,ALSN.SW,3.0,strong_buy,1.3,185.0,294.4,271.01,321.15,13.58,13.622974963181148
13,AFP.SW,3.0,buy,2.5,18.2,22.59,19.62,25.07,0.8,22.749999999999996
14,AMS.SW,13.0,hold,3.1,7.292,9.02,6.54,16.65,1.01,7.21980198019802
15,AAM.SW,,none,,37.0,,,,,
16,APGN.SW,,buy,2.5,176.0,,,,8.69,20.253164556962027
17,ARBN.SW,4.0,hold,2.6,12.92,14.88,13.0,16.5,0.7,18.45714285714286
18,ARON.SW,,none,,0.33,,,,,
19,ARYN.SW,4.0,hold,2.7,1.275,1.17,0.88,1.5,0.08,15.937499999999998
20,ASCN.SW,4.0,buy,2.4,8.9,12.09,8.1,16.5,0.51,17.450980392156865
21,ASWN.SW,1.0,buy,2.0,2.22,7.4,7.4,7.4,,
22,AUTN.SW,5.0,hold,3.0,126.2,119.4,114.0,125.0,7.68,16.432291666666668
23,BANB.SW,4.0,buy,2.4,86.95,92.5,86.0,100.0,1.71,50.84795321637427
24,BALN.SW,6.0,hold,2.7,152.5,157.5,147.0,174.0,13.34,11.431784107946028
25,LINN.SW,,,,,,,,,
26,BCGE.SW,,none,,187.0,,,,,
27,BCJ.SW,,none,,54.0,,,,,
28,BCVN.SW,,hold,3.0,83.05,,,,4.47,18.579418344519016
29,BARN.SW,11.0,buy,2.0,1944.0,2283.73,2100.0,2500.0,71.81,27.071438518312213
30,BLKB.SW,,none,,932.0,,,,,
31,BSLN.SW,6.0,buy,1.7,52.1,67.5,45.0,91.0,7.14,7.2969187675070035
32,BSKP.SW,,none,,65.6,,,,,
33,BAX.SW,,none,,84.0,,,,,
34,BION.SW,,none,,57.0,,,,1.53,37.254901960784316
35,BEAN.SW,8.0,hold,2.9,492.0,433.25,331.0,540.0,11.15,44.12556053811659
36,BELL.SW,1.0,hold,3.0,240.0,280.0,280.0,280.0,22.04,10.88929219600726
37,BBN.SW,,none,,39.75,,,,2.41,16.493775933609957
38,TIBN.SW,1.0,none,,46.4,42.0,42.0,42.0,,
39,BEKN.SW,,none,,232.0,,,,14.28,16.246498599439775
40,BKW.SW,4.0,buy,2.0,134.4,148.5,140.0,158.0,7.59,17.707509881422926
41,BLS.SW,,,,,,,,,
42,BOBNN.SW,1.0,hold,3.0,57.3,78.0,78.0,78.0,5.6,10.232142857142858
43,BOSN.SW,6.0,hold,2.7,251.0,239.83,164.0,304.0,13.38,18.759342301943196
44,BUCN.SW,8.0,buy,2.3,423.6,441.0,385.0,545.0,28.99,14.611935150051744
45,BCHN.SW,5.0,buy,2.5,588.0,539.8,460.0,568.0,23.76,24.747474747474747
46,BRKN.SW,1.0,buy,2.5,85.4,84.0,84.0,84.0,4.82,17.717842323651453
47,BVZN.SW,,none,,770.0,,,,,
48,BYS.SW,5.0,none,,734.0,1401.4,1300.0,1550.0,,
49,CALN.SW,,buy,2.0,45.05,,,,2.56,17.59765625
50,GAV.SW,,none,,306.0,,,,,
51,CASN.SW,,,,,,,,,
52,CPEN.SW,,none,,7.7,,,,,
53,CAT.SW,,none,,230.0,,,,,
54,CMBN.SW,3.0,hold,2.7,80.2,78.67,70.0,92.0,5.36,14.962686567164178
55,LISN.SW,9.0,hold,3.2,104200.0,104500.0,83000.0,127000.0,2579.69,40.39245025565087
56,LISP.SW,6.0,hold,3.1,10340.0,9983.33,8700.0,11600.0,208.88,49.50210647261586
57,CIE.SW,,none,,2.76,,,,,
58,CICN.SW,3.0,buy,2.5,45.7,61.67,55.0,70.0,2.84,16.091549295774648
59,CLN.SW,17.0,hold,2.6,15.87,19.55,16.0,25.0,1.15,13.8
60,CLTN.SW,2.0,hold,3.0,69.0,83.5,71.0,96.0,5.5,12.545454545454545
61,COTN.SW,4.0,buy,2.0,209.0,274.75,250.0,300.0,7.75,26.967741935483872
62,GOB.SW,,none,,68.0,,,,,
63,CFR.SW,23.0,buy,2.2,144.0,126.56,92.28,157.48,,
64,CFT.SW,1.0,buy,2.0,108.0,153.0,153.0,153.0,,
65,COPN.SW,5.0,buy,1.7,65.1,86.11,70.25,100.38,1.29,50.46511627906976
66,CPHN.SW,3.0,hold,3.0,85.0,93.23,82.0,100.0,7.83,10.855683269476373
67,CLXN.SW,,none,,61.5,,,,4.11,14.963503649635035
68,CSGN.SW,15.0,hold,3.2,2.73,4.73,3.2,6.6,0.38,7.184210526315789
69,DCN.SW,,none,,670.0,,,,39.7,16.876574307304786
70,DAE.SW,6.0,buy,2.4,190.0,228.0,190.0,270.0,8.99,21.134593993325918
71,DKSH.SW,6.0,buy,2.3,78.85,81.83,71.0,90.0,3.68,21.426630434782606
72,DOKA.SW,9.0,hold,2.9,389.0,462.78,306.0,600.0,29.65,13.11973018549747
73,DESN.SW,,none,,270.0,,,,6.3,42.85714285714286
74,DUFN.SW,13.0,hold,2.6,41.36,47.25,40.0,58.0,2.61,15.846743295019158
75,ESUN.SW,1.0,buy,2.0,119.5,168.0,168.0,168.0,44.7,2.6733780760626398
76,EEII.SW,,none,,2.58,,,,,
77,EFGN.SW,3.0,hold,2.7,8.55,9.42,9.0,10.25,0.69,12.39130434782609
78,LLY.SW,,none,,274.0,,,,,
79,ELMN.SW,,none,,1000.0,,,,,
80,EMMN.SW,5.0,buy,2.5,865.0,913.6,820.0,1000.0,40.3,21.46401985111663
81,EMSN.SW,6.0,hold,2.7,715.5,715.83,575.0,900.0,23.21,30.82722964239552
82,EDHN.SW,1.0,none,,44.8,60.0,60.0,60.0,2.71,16.531365313653136
83,RUS.SW,,none,,6.0,,,,,
84,EVE.SW,1.0,hold,3.0,0.0846,0.28,0.28,0.28,-0.02,-4.2299999999999995
85,FTON.SW,3.0,buy,1.7,24.25,30.0,30.0,30.0,1.86,13.03763440860215
