,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,ZURN.SW,17.0,hold,2.6,440.8,469.68,335.05,544.62,39.0,11.302564102564103
1,EVE.SW,1.0,hold,3.0,0.0857,0.28,0.28,0.28,-0.02,-4.285
2,MBTN.SW,9.0,buy,2.4,0.6625,0.66,0.31,0.96,0.01,66.25
3,ASWN.SW,1.0,buy,2.0,2.15,7.4,7.4,7.4,,
4,RCK.V,4.0,buy,2.0,2.72,6.25,3.0,10.0,,
5,TKA.DE,12.0,buy,2.5,6.964,9.1,6.0,16.0,0.91,7.652747252747253
6,F3C.DE,5.0,buy,1.6,21.05,32.0,28.0,35.0,0.28,75.17857142857143
7,VOW3.DE,24.0,buy,2.2,131.08,186.5,115.0,320.0,29.17,4.493657867672266
8,NOVO-B.CO,27.0,buy,2.4,1000.2,975.04,625.0,1200.0,35.44,28.222347629796843
9,ALJXR.PA,,none,,0.0504,,,,,
10,LIN,14.0,buy,1.9,324.56,343.08,280.12,375.16,12.9,25.15968992248062
11,NEL.OL,22.0,hold,3.0,17.0,15.42,7.0,25.0,-0.42,-40.476190476190474
12,BLDP,23.0,hold,2.9,5.59,8.24,4.0,19.0,-0.5,-11.18
13,UUUU,3.0,buy,2.0,6.56,10.42,8.5,13.0,-0.02,-328.0
14,SHOP,41.0,hold,2.6,41.42,48.11,28.0,81.43,0.24,172.58333333333334
15,ONON,12.0,buy,2.2,21.05,26.24,16.47,30.94,0.45,46.77777777777778
16,BE,21.0,buy,2.2,22.38,29.76,21.0,40.0,0.45,49.73333333333333
17,CLNE,10.0,buy,2.0,5.55,13.05,7.0,27.0,0.0,inf
18,RUN,24.0,buy,2.1,23.9,43.98,12.74,70.0,-0.03,-796.6666666666666
19,SQ,40.0,buy,2.1,71.95,90.19,51.0,150.0,1.72,41.83139534883721
20,EQNR,2.0,buy,2.0,30.66,41.6,36.2,47.0,6.14,4.993485342019544
21,FCEL,8.0,hold,3.3,3.34,3.22,2.0,4.0,-0.23,-14.521739130434781
22,QS,8.0,hold,3.1,9.76,10.88,3.0,25.0,-0.78,-12.512820512820513
23,PCELL.ST,4.0,hold,3.0,138.6,155.0,135.0,180.0,-1.23,-112.68292682926828
24,PLUG,30.0,buy,2.1,14.43,27.26,13.0,78.0,-0.63,-22.904761904761905
25,SNPS,14.0,buy,1.7,352.35,421.35,356.9,467.0,12.16,28.976151315789476
26,CWR.L,13.0,buy,1.9,454.7,904.85,365.0,1560.0,-12.53,-36.288906624102154
