,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
170,PSPN.SW,9.0,buy,2.3,109.1,120.44,100.0,128.0,4.92,22.17479674796748
171,RLF.SW,,none,,0.0234,,,,,
172,RIEN.SW,5.0,hold,3.0,105.0,112.75,92.0,140.0,15.46,6.791720569210867
173,ROG.SW,22.0,buy,2.1,281.9,364.36,300.0,429.0,21.03,13.404660009510222
174,RO.SW,1.0,hold,3.0,299.4,355.0,355.0,355.0,21.3,14.056338028169012
175,HREN.SW,2.0,buy,2.0,1170.0,1425.0,1250.0,1600.0,86.92,13.460653474459273
176,RY.SW,,none,,92.0,,,,8.63,10.660486674391656
177,SANN.SW,,buy,2.0,0.821,,,,-0.59,-1.3915254237288135
178,SAHN.SW,,none,,272.0,,,,23.85,11.40461215932914
179,SCHP.SW,16.0,hold,2.7,196.95,197.06,150.0,265.0,7.01,28.095577746077034
180,SCHN.SW,4.0,hold,2.6,189.2,180.25,163.0,192.0,9.23,20.498374864572046
181,STRN.SW,,none,,25.0,,,,,
182,SWTQ.SW,5.0,buy,2.3,787.0,874.4,650.0,1000.0,34.87,22.569544020648124
183,SNBN.SW,,none,,4740.0,,,,,
184,SCR.SW,,none,,20.14,,,,,
185,SENS.SW,4.0,buy,2.5,116.2,111.75,92.0,135.0,3.55,32.732394366197184
186,SFPN.SW,,hold,3.0,92.5,,,,3.64,25.412087912087912
187,SFSN.SW,7.0,buy,2.4,112.2,117.29,75.0,154.0,6.85,16.379562043795623
188,SGSN.SW,14.0,hold,3.2,2177.0,2315.79,1900.0,3400.0,103.62,21.009457633661455
189,SHLTN.SW,1.0,hold,3.0,13.45,10.5,10.5,10.5,0.84,16.011904761904763
190,SFZN.SW,8.0,buy,2.2,711.5,867.0,700.0,971.0,32.47,21.9125346473668
191,SIGN.SW,13.0,buy,2.2,21.56,25.11,17.0,30.05,0.84,25.666666666666668
192,SIKA.SW,20.0,buy,2.4,273.9,303.35,236.0,380.0,9.86,27.7789046653144
193,SKAN.SW,,buy,2.5,69.7,,,,,
194,CADN.SW,,none,,0.15,,,,,
195,SWON.SW,10.0,buy,2.5,15.52,15.76,14.0,20.0,0.92,16.869565217391305
196,SOON.SW,15.0,hold,2.7,237.9,278.0,189.0,340.0,13.24,17.968277945619334
197,SPEX.SW,1.0,buy,2.0,0.4,1.8,1.8,1.8,-0.13,-3.076923076923077
198,SPCE.SW,,none,,15.2,,,,,
199,SGKN.SW,,buy,2.0,490.0,,,,36.78,13.322457857531267
200,SRAIL.SW,9.0,hold,3.1,36.68,34.06,22.0,43.0,1.83,20.043715846994534
201,STGN.SW,1.0,none,,54.5,55.0,55.0,55.0,4.33,12.586605080831408
202,STMN.SW,14.0,hold,2.7,127.8,127.27,80.0,196.8,3.3,38.72727272727273
203,SUN.SW,6.0,buy,2.0,80.5,94.33,70.0,120.0,6.18,13.025889967637541
204,SLHN.SW,8.0,buy,2.4,561.0,552.65,476.8,650.0,46.35,12.10355987055016
205,SPSN.SW,7.0,hold,2.9,80.75,89.71,80.0,104.0,3.92,20.599489795918366
206,SREN.SW,19.0,hold,3.0,96.5,80.17,65.52,90.22,10.55,9.14691943127962
207,STLN.SW,2.0,underperform,4.0,0.1494,0.3,0.3,0.3,0.03,4.98
208,SCMN.SW,16.0,hold,3.3,574.0,513.94,409.0,674.0,30.21,19.000331016219793
209,SQN.SW,3.0,buy,2.0,178.7,205.0,200.0,210.0,14.64,12.206284153005463
210,THAG.SW,1.0,buy,2.0,0.0515,0.33,0.33,0.33,,
211,TECN.SW,5.0,buy,2.2,390.4,457.4,422.0,493.0,12.7,30.74015748031496
212,TEMN.SW,18.0,hold,3.2,71.9,61.39,47.09,101.34,3.35,21.46268656716418
213,UHRN.SW,,hold,3.0,60.1,,,,,
