,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,ZURN.SW,17.0,hold,2.6,439.5,484.88,341.49,572.21,37.22,11.808167651800108
1,EVE.SW,2.0,hold,3.0,0.0868000015616417,0.29,0.28,0.29,-0.02,-4.340000078082085
2,MBTN.SW,8.0,buy,2.4,0.6679999828338623,0.58,0.21,0.92,0.01,66.79999828338623
3,ASWN.SW,1.0,buy,2.0,2.109999895095825,7.4,7.4,7.4,,
4,RCK.V,4.0,buy,2.0,3.240000009536743,6.25,3.0,10.0,,
5,TKA.DE,12.0,hold,2.8,7.182000160217285,8.8,4.0,16.0,0.87,8.255172597950903
6,F3C.DE,5.0,buy,1.6,25.899999618530273,32.2,28.0,35.0,0.32,80.9374988079071
7,VOW3.DE,24.0,buy,2.2,130.33999633789062,185.8,115.0,320.0,29.17,4.468289212817642
8,NOVO-B.CO,27.0,buy,2.4,958.0,962.22,540.0,1200.0,35.24,27.185017026106696
9,ALJXR.PA,,none,,0.04170000180602074,,,,,
10,LIN,13.0,buy,2.1,322.8599853515625,337.07,284.12,368.34,11.33,28.496026950711606
11,NEL.OL,22.0,hold,3.1,17.799999237060547,14.03,7.0,25.0,-0.42,-42.380950564429874
12,BLDP,23.0,hold,2.9,6.480000019073486,8.24,4.0,19.0,-0.5,-12.960000038146973
13,UUUU,3.0,buy,2.0,7.159999847412109,10.33,8.5,13.0,0.06,119.33333079020183
14,SHOP,40.0,hold,2.6,51.56999969482422,43.06,28.0,81.43,0.05,1031.3999938964844
15,ONON,12.0,buy,2.2,22.489999771118164,25.85,16.17,30.36,0.45,49.977777269151474
16,BE,20.0,buy,2.2,24.1299991607666,28.6,20.0,40.0,0.11,219.36362873424184
17,CLNE,10.0,buy,2.0,5.71999979019165,13.05,7.0,27.0,0.0,inf
18,RUN,24.0,buy,2.1,26.489999771118164,44.31,12.74,70.0,-0.03,-882.9999923706055
19,SQ,40.0,buy,2.1,82.55000305175781,90.19,51.0,150.0,1.72,47.99418782078943
20,EQNR,2.0,buy,2.0,28.889999389648438,40.65,34.3,47.0,6.14,4.705211626978573
21,FCEL,8.0,hold,3.3,3.930000066757202,3.22,2.0,4.0,-0.23,-17.086956811987836
22,QS,9.0,hold,3.1,9.350000381469727,12.22,3.0,25.0,-0.83,-11.265060700565936
23,PCELL.ST,3.0,hold,3.0,145.5500030517578,140.0,135.0,150.0,-1.69,-86.12426216080344
24,PLUG,29.0,buy,2.1,16.479999542236328,27.34,13.0,78.0,-0.66,-24.96969627611565
25,SNPS,14.0,buy,1.7,359.9700012207031,416.99,356.9,467.0,11.83,30.428571531758507
26,CWR.L,13.0,buy,1.9,487.1000061035156,915.77,365.0,1560.0,-12.53,-38.87470120538832
