,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,ZURN.SW,17.0,hold,2.6,440.5,470.36,333.19,567.77,38.81,11.350167482607574
1,EVE.SW,1.0,hold,3.0,0.08250000327825546,0.28,0.28,0.28,-0.02,-4.125000163912773
2,MBTN.SW,9.0,buy,2.4,0.6445000171661377,0.66,0.31,0.96,0.01,64.45000171661377
3,ASWN.SW,1.0,buy,2.0,2.109999895095825,7.4,7.4,7.4,,
4,RCK.V,4.0,buy,2.0,2.990000009536743,6.25,3.0,10.0,,
5,TKA.DE,12.0,hold,2.7,6.605999946594238,8.8,4.0,16.0,0.88,7.506818121129816
6,F3C.DE,5.0,buy,1.6,23.200000762939453,33.2,28.0,35.0,0.32,72.50000238418579
7,VOW3.DE,24.0,buy,2.2,130.97999572753906,186.5,115.0,320.0,29.03,4.511884110490494
8,NOVO-B.CO,27.0,buy,2.4,989.0,975.04,625.0,1200.0,35.52,27.843468468468465
9,ALJXR.PA,,none,,0.03869999945163727,,,,,
10,LIN,14.0,buy,1.9,332.5299987792969,342.38,279.73,374.64,12.87,25.837606742758112
11,NEL.OL,22.0,hold,3.0,17.235000610351562,15.15,7.0,25.0,-0.42,-41.035715738932296
12,BLDP,23.0,hold,2.9,6.5,8.24,4.0,19.0,-0.5,-13.0
13,UUUU,3.0,buy,2.0,7.460000038146973,10.33,8.5,13.0,0.01,746.0000038146973
14,SHOP,40.0,hold,2.6,53.38999938964844,44.36,28.0,81.43,0.06,889.8333231608074
15,ONON,12.0,buy,2.2,23.559999465942383,26.36,16.53,31.06,0.45,52.35555436876085
16,BE,20.0,buy,2.2,24.40999984741211,30.15,21.0,40.0,0.45,54.244444105360245
17,CLNE,10.0,buy,2.0,5.96999979019165,13.05,7.0,27.0,0.0,inf
18,RUN,24.0,buy,2.1,25.360000610351562,43.98,12.74,70.0,-0.03,-845.3333536783855
19,SQ,40.0,buy,2.1,82.69000244140625,90.19,51.0,150.0,1.72,48.075582814771074
20,EQNR,2.0,buy,2.0,31.979999542236328,41.6,36.2,47.0,6.14,5.208468980820249
21,FCEL,8.0,hold,3.3,3.8399999141693115,3.22,2.0,4.0,-0.23,-16.695651800736137
22,QS,9.0,hold,3.1,11.84000015258789,12.11,3.0,25.0,-0.86,-13.767442037892897
23,PCELL.ST,4.0,hold,3.0,138.1999969482422,155.0,135.0,180.0,-1.23,-112.35772109613187
24,PLUG,29.0,buy,2.1,16.770000457763672,27.34,13.0,78.0,-0.66,-25.40909160267223
25,SNPS,14.0,buy,1.7,379.4800109863281,416.99,356.9,467.0,11.83,32.07776931414439
26,CWR.L,13.0,buy,1.9,444.5,915.77,365.0,1560.0,-12.53,-35.47486033519553
